brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Jamba Juice,"Vitaligent-East Bay, Llc",1570 South Bascom Ave.,San Jose,CALIFORNIA,95125,408.558.0320
Jamba Juice,"Vitaligent-East Bay, Llc",1030 El Paseo de Saratoga,San Jose,CALIFORNIA,95130,408.874.0670
Jamba Juice,"Vitaligent-East Bay, Llc",1140 Lincoln Ave. #A,San Jose,CALIFORNIA,95125,408.795.1577
Jamba Juice,"Compass Group Usa, Inc.","211 S. 9th Street, Student Union",San Jose,CALIFORNIA,95112,408-924-1870
Jamba Juice,"Vitaligent-East Bay, Llc",125 Bernal Rd. B-40,San Jose,CALIFORNIA,95119,408.227.5988
Jamba Juice,"Vitaligent-East Bay, Llc",2029 Camden Ave.,San Jose,CALIFORNIA,95124,408.626.9842
Jamba Juice,"Vitaligent-East Bay, Llc",2990 E. Capitol Expressway #30,San Jose,CALIFORNIA,95148,408.531.1180
Jamba Juice,"Vitaligent-East Bay, Llc","1720 Story Rd., Ste. #46",San Jose,CALIFORNIA,95122,408.347.9101
Jamba Juice,"Vitaligent-East Bay, Llc","695 Coleman Ave., Ste. 10",San Jose,CALIFORNIA,95110,408.298.2985
Jamba Juice,"Vitaligent-East Bay, Llc","91 Curtner Ave., Ste. 80",San Jose,CALIFORNIA,95125,408.287.1530
Jamba Juice,"Vitaligent-East Bay, Llc",372 North Capitol Ave.,San Jose,CALIFORNIA,95133,408.254.1449
Jamba Juice,"Bayport Concessions, Llc","1701 Airport Blvd, Terminal B",San Jose,CALIFORNIA,95110,408.320.2777
Jamba Juice,Fresh Dining Concepts Llc,925 Blossom Hill Rd,San Jose,CALIFORNIA,95123,669.312.4989
Jamba Juice,"Valley Juice, Llc","15555 E. 14th Street, Ste. 198",San Leandro,CALIFORNIA,94578,510.481.1838
Jamba Juice,"Slo Life Company, Llc","17 Chorro Street, #C",San Luis Obispo,CALIFORNIA,93405,805.549.0637
Jamba Juice,"Slo Life Company, Llc",890 Marsh Street,San Luis Obispo,CALIFORNIA,93401,805.549.0733
Jamba Juice,Cal Poly Corporation,"1 Grand Ave, Bldg 112",San Luis Obispo,CALIFORNIA,93407,805.756.1955
Jamba Juice,"Fresh Squeezed Akash, Llc",48 East 4th Ave.,San Mateo,CALIFORNIA,94401,650.558.3918
Jamba Juice,"Fresh Squeezed Akash, Llc",1230-A West Hillsdale Blvd.,San Mateo,CALIFORNIA,94403,650.357.0804
Jamba Juice,"Fresh Squeezed Akash, Llc",29 Hillsdale Mall,San Mateo,CALIFORNIA,94403,415.610.3324
Jamba Juice,"Valley Juice, Llc",30-C San Pablo Towne Center,San Pablo,CALIFORNIA,94806,510.215.1741
Jamba Juice,"South Bay Smoothies, Llc","924 N. Western Ave., #300",San Pedro,CALIFORNIA,90732,310.514.8352
Jamba Juice,"One Whirld, Inc.",266 Northgate One,San Rafael,CALIFORNIA,94903,415.491.7700
Jamba Juice,Sonnshine Llc,3141-H Crow Canyon Place,San Ramon,CALIFORNIA,94583,925.275.6890
Jamba Juice,"Galeco, Llc",4463 Camino De La Plaza,San Ysidro,CALIFORNIA,92173,619.746.6565
Jamba Juice,"Creative Juices, Inc.",2160-C California Ave.,Sand City,CALIFORNIA,93955,831.583.9696
Jamba Juice,Purezest Llc,"1601 West 17th St, Unit E1",Santa Ana,CALIFORNIA,92706,657-232-0265
Jamba Juice,Purezest Llc,"2841 W. MacArthur Blvd, Ste D",Santa Ana,CALIFORNIA,92704,714-760-4222
Jamba Juice,Fly Away Foods Llc,18601 Airport Way,Santa Ana,CALIFORNIA,92707,949.230.8872
Jamba Juice,"One Whirld, Inc.",3119 Mission College Blvd.,Santa Clara,CALIFORNIA,95054,(408) 450-7990
Jamba Juice,"One Whirld, Inc.",2372 El Camino Real,Santa Clara,CALIFORNIA,95050,(408) 241-1523
Jamba Juice,"Creative Juices, Inc.",1550 Pacific Ave.,Santa Cruz,CALIFORNIA,95060,831.426.5262
Jamba Juice,"Slo Life Company, Llc","530 E. Betteravia Rd., Ste. A-3",Santa Maria,CALIFORNIA,93455,805.922.3240
Jamba Juice,"Juice To Go, Llc",2461 Santa Monica Blvd,Santa Monica,CALIFORNIA,90404,323.588.1800
Jamba Juice,"One Whirld, Inc.","2360 Mendocino Ave., Ste. A7",Santa Rosa,CALIFORNIA,95403,707.527.5501
Jamba Juice,"One Whirld, Inc.","733 Coddingtown Mall, Space 346",Santa Rosa,CALIFORNIA,95401,707.527.0657
Jamba Juice,Fresh Dining Concepts Llc,9828 Mission Gorge Rd.,Santee,CALIFORNIA,92071,619.448.2746
Jamba Juice,"Creative Juices, Inc.","214 Mt. Hermon Rd., Ste. D",Scotts Valley,CALIFORNIA,95066,831.430.9282
Jamba Juice,"Rpm Juice, Inc.",14425 Burbank Blvd.,Sherman Oaks,CALIFORNIA,91401,(818) 849-5151
Jamba Juice,"Idad-3, Inc",1368 Madera Rd. #14,Simi Valley,CALIFORNIA,93065,(805) 285-0591
Jamba Juice,"Idad-3, Inc",2944 Tapo Canyon Rd. #H,Simi Valley,CALIFORNIA,93063,(805) 842-1482
Jamba Juice,"Blended Star Norcal, Inc.","1191 Sanguinetti Rd, #B1",Sonora,CALIFORNIA,95370,209-536-4458
Jamba Juice,Gns Holdings Inc.,4000 Lake Tahoe Blvd. #33,South Lake Tahoe,CALIFORNIA,96150,530.544.8890
Jamba Juice,"Juice To Go, Llc",1101 Fair Oaks Ave.,South Pasadena,CALIFORNIA,91030,626.799.1775
Jamba Juice,"Fresh Squeezed Akash, Llc","459 Lagunita Dr., Ste. 11",Stanford,CALIFORNIA,94305,650.833.6845
Jamba Juice,"Vitaligent-Norcal, Llc",201 Lincoln Center,Stockton,CALIFORNIA,95207,209.951.9300
Jamba Juice,"Vitaligent-Norcal, Llc","10952 Trinity Pkwy, Ste. H",Stockton,CALIFORNIA,95219,209.475.9770
Jamba Juice,"Vitaligent-Norcal, Llc","2829 W. March Lane, Ste. C7",Stockton,CALIFORNIA,95219,209.952.9617
Jamba Juice,"One Whirld, Inc.",797 E. El Camino Real,Sunnyvale,CALIFORNIA,94087,(408) 530-0950
Jamba Juice,Bright Works Incorporated,"26550 Ynez Rd., Unit A",Temecula,CALIFORNIA,92591,951.587.2337
Jamba Juice,Bright Works Incorporated,"31938 Hwy 79 South, Unit E",Temecula,CALIFORNIA,92592,951.302.2223
Jamba Juice,"Idad-3, Inc","33 N. Moorpark Rd., Ste. G",Thousand Oaks,CALIFORNIA,91360,(805) 449-1300
Jamba Juice,"Fc Juice Partners California, Llc","1025 Broadbeck Lane, Ste. G",Thousand Oaks,CALIFORNIA,91320,(805) 498-5072
Jamba Juice,"Sodexo Operations, Llc","60 West Olsen, Ste 2450",Thousand Oaks,CALIFORNIA,91360,8054933204
Jamba Juice,"South Bay Smoothies, Llc","24223 Crenshaw Blvd., #A",Torrance,CALIFORNIA,90505,310.517.0224
